PlayerID,Player,Team,Salary,Rk,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Age_Sq,MIN_VAL,PTS_VAL,REB_VAL,AST_VAL,STL_VAL,BLK_VAL,TOV_VAL,SPV,SPV_Offense,SPV_Defense,SPV_per_min,cluster,cluster_per_min
whitede01,Derrick White,BOS,20071429.0,82.0,30.0,SG,76.0,76.0,33.9,5.6,12.6,0.442,3.5,9.1,0.384,2.1,3.5,0.593,0.58,1.8,2.1,0.839,0.9,3.6,4.5,4.8,0.9,1.1,1.7,1.8,16.4,,16.6,0.606,0.721,0.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6,,900.0,33.9,16.4,5.265000000000001,10.752,1.9800000000000002,2.53,-3.74,67.087,64.792,43.675,0.9789675516224189,1,1
allenja01,Jarrett Allen,CLE,20000000.0,118.0,26.0,C,82.0,82.0,28.0,5.5,7.8,0.706,0.0,0.1,0.0,5.5,7.7,0.712,0.706,2.4,3.4,0.718,2.6,7.1,9.7,1.9,0.9,0.9,1.2,1.5,13.5,,22.1,0.724,0.008,0.433,10.5,26.7,18.8,9.5,1.6,2.9,11.3,15.9,7.6,4.0,11.6,0.243,3.0,1.2,4.2,3.6,,676.0,28.0,13.5,11.349,4.256,1.9800000000000002,2.07,-2.64,58.515,48.396,43.399,1.0898214285714285,1,0
vucevni01,Nikola Vučević,CHI,20000000.0,65.0,34.0,C,73.0,72.0,31.2,7.5,14.2,0.53,1.8,4.4,0.402,5.8,9.8,0.587,0.592,1.6,2.0,0.805,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,18.5,,20.3,0.611,0.309,0.144,8.3,25.2,16.9,17.1,1.2,2.0,9.7,22.4,4.7,2.6,7.3,0.153,2.5,0.1,2.6,2.7,,1156.0,31.2,18.5,11.817000000000002,7.840000000000001,1.7600000000000002,1.6099999999999999,-3.5200000000000005,69.20700000000001,61.06000000000001,46.387,1.218173076923077,1,0
turnemy01,Myles Turner,IND,19928500.0,89.0,28.0,C,72.0,72.0,30.2,5.4,11.3,0.481,2.2,5.5,0.396,3.3,5.8,0.561,0.577,2.6,3.3,0.773,1.3,5.3,6.5,1.5,0.8,2.0,1.7,2.5,15.6,,16.1,0.612,0.486,0.293,4.7,19.4,12.1,7.1,1.2,6.0,11.8,20.7,1.8,2.9,4.7,0.104,0.0,0.4,0.4,1.3,,784.0,30.2,15.6,7.605000000000001,3.3600000000000003,1.7600000000000002,4.6,-3.74,59.385,52.9,44.165,0.9663907284768213,1,1
poeltja01,Jakob Poeltl,TOR,19500000.0,102.0,29.0,C,57.0,56.0,29.6,6.4,10.2,0.627,0.0,0.1,0.333,6.4,10.1,0.628,0.628,1.7,2.5,0.674,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.1,14.5,,20.0,0.641,0.005,0.249,11.7,23.3,17.4,14.5,1.9,4.0,14.7,18.7,3.0,2.5,5.5,0.158,0.7,1.3,2.0,1.7,,841.0,29.6,14.5,11.232000000000001,6.272,2.64,2.76,-4.18,62.824000000000005,54.552,46.232,1.1224324324324322,1,0
robindu01,Duncan Robinson,MIA,19406000.0,162.0,30.0,SF,74.0,37.0,24.1,3.9,9.0,0.437,2.6,6.5,0.393,1.4,2.4,0.556,0.581,0.6,0.7,0.887,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,11.0,,11.8,0.595,0.729,0.08,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1,,900.0,24.1,11.0,2.6910000000000003,5.376,1.1,0.22999999999999998,-2.64,41.857,43.116,28.121000000000002,0.7368049792531121,2,2
powelno01,Norman Powell,LAC,19241379.0,36.0,31.0,SG,60.0,60.0,32.6,7.6,15.8,0.484,3.0,7.1,0.418,4.6,8.6,0.538,0.578,3.6,4.4,0.804,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.8,,17.5,0.615,0.453,0.28,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8,,961.0,32.6,21.8,3.7440000000000007,4.704000000000001,2.64,0.45999999999999996,-3.9600000000000004,61.98799999999999,63.06400000000001,39.444,0.9014723926380367,1,1
johnske04,Keldon Johnson,SAS,19000000.0,129.0,25.0,SF,77.0,0.0,23.9,4.8,10.0,0.482,1.1,3.6,0.318,3.7,6.4,0.573,0.538,1.9,2.5,0.773,1.5,3.4,4.8,1.6,0.6,0.3,1.0,1.5,12.7,,15.6,0.572,0.356,0.252,6.5,15.1,10.8,10.2,1.3,1.1,8.3,21.6,2.2,1.0,3.2,0.083,0.0,-1.6,-1.6,0.2,,625.0,23.9,12.7,5.6160000000000005,3.5840000000000005,1.32,0.69,-2.2,45.60999999999999,42.384,31.526,0.9083682008368201,2,1
russeda01,D'Angelo Russell,BRK,18692307.0,130.0,28.0,PG,29.0,10.0,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,13.0,0.537,0.54,0.17,1.2,10.3,5.9,26.2,1.5,0.5,13.0,22.1,0.4,0.6,1.0,0.063,-0.7,-1.0,-1.7,0.1,,784.0,26.3,12.4,3.2760000000000002,10.528000000000002,1.7600000000000002,0.22999999999999998,-3.74,50.754,52.96800000000001,31.566000000000003,0.9298098859315589,2,1
sextoco01,Collin Sexton,UTA,18350000.0,66.0,26.0,SG,63.0,61.0,27.9,6.6,13.8,0.48,1.7,4.3,0.406,4.9,9.5,0.513,0.543,3.4,4.0,0.865,1.0,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,,16.6,0.593,0.313,0.29,3.7,6.8,5.2,25.1,1.3,0.3,14.1,27.0,2.5,-0.1,2.4,0.066,1.7,-2.3,-0.6,0.6,,676.0,27.9,18.4,3.1590000000000007,9.408000000000001,1.54,0.22999999999999998,-5.5,55.13699999999999,61.208,32.82899999999999,0.9762365591397848,1,1
